covariate,coef,exp(coef),se(coef),coef lower 95%,coef upper 95%,exp(coef) lower 95%,exp(coef) upper 95%,cmp to,z,p,-log2(p)
Total Debt / Total Capital (%),-0.0011306262662168567,0.9988700126508453,0.0051057529676032535,-0.011137718196677734,0.008876465664244021,0.9889240765563475,1.0089159783099384,0.0,-0.22144163131096337,0.8247485798164713,0.27797370635723273
total_debt_to_assets,0.40408607413166914,1.497932874680875,0.776060978871879,-1.1169654942641134,1.9251376425274518,0.3272713962808787,6.85609229082758,0.0,0.5206885607353546,0.6025837445173247,0.7307663400110106
net_debt_to_assets,0.11935888233551728,1.1267742251002317,0.8218453455874186,-1.4914283958776973,1.730146160548732,0.22505096397346985,5.641478409752099,0.0,0.14523277764651066,0.8845270874596894,0.17702177068797922
debt_to_equity,-0.004778476289216531,0.9952329224651533,0.013081205051167276,-0.030417167063887827,0.02086021448545476,0.9700407800653955,1.0210793095644448,0.0,-0.3652932792143743,0.7148924947073506,0.4842017886798792
EBIT / Interest Expense (x),-0.021597118662742477,0.9786344291866649,0.022145390188003815,-0.06500128585481665,0.0218070485293317,0.9370662584454668,1.0220465600568254,0.0,-0.975242182657123,0.3294401424764215,1.6019117358670203
EBIT Margin,0.00044868854893628725,1.0004487892247,0.007204636117880223,-0.013672138763825422,0.014569515861697998,0.9864209004277921,1.0146761685879708,0.0,0.062277753046090296,0.9503416445778399,0.0734818442525852
Return on Assets,-0.048090107046967534,0.95304790687585,0.03470376453074431,-0.11610823565518495,0.019928021561249884,0.8903788473440043,1.0201279101698049,0.0,-1.3857317123150767,0.1658288409621518,2.5922331526220574
Net Income Margin,-0.007910678753661535,0.9921205283215759,0.0056934428105147004,-0.01906962161030885,0.0032482641029857803,0.9811110533335206,1.0032535454296603,0.0,-1.3894367638245217,0.1646999775132702,2.6020877367963537
fcf_to_debt,-0.3591560696555095,0.6982653648121085,1.364002507744435,-3.0325518596569183,2.3142397203458995,0.0481925005800261,10.117228071337463,0.0,-0.2633104174048941,0.792311330995288,0.3358606602570379
cfo_to_debt,-1.6325001865382467,0.19544032550449764,1.7564177481448808,-5.075015714709156,1.8100153416326632,0.006250988206395106,6.110541177189622,0.0,-0.9294486965088372,0.35265660116216113,1.5036640500007887
Current Ratio (x),-0.006783692707400792,0.9932392645948792,0.05352876315357735,-0.11169814062538708,0.09813075521058551,0.8943141738771474,1.1031070126687896,0.0,-0.12672986087756138,0.8991542108189949,0.1533595263062513
cash_to_debt,0.1308385135953542,1.1397837068767336,0.7900007437010085,-1.4175344918184802,1.6792115190091887,0.24231070004461885,5.361326999684503,0.0,0.16561821572774701,0.8684574111921282,0.20347299341105105
log_assets,0.06466624010115117,1.0668029089279936,0.08098560232903902,-0.09406262373004844,0.2233951039323508,0.9102257587237016,1.2503144803251924,0.0,0.7984905741444833,0.4245858609055351,1.2358717658982075
total_debt__to__total_capital_delta_1q,0.014370615769375804,1.014474369473958,0.01778822024266916,-0.02049365525532209,0.049234886794073694,0.9797149124957751,1.0504670626048296,0.0,0.8078726018303146,0.41916392502648947,1.2544135369455178
total_debt__to__total_capital_delta_4q,0.008319341375990297,1.0083540432619813,0.011686572230960831,-0.014585919299418841,0.031224602051399437,0.9855199399118614,1.0317172036658333,0.0,0.7118718142134229,0.4765441573309962,1.0693181921669885
total_debt__to__total_capital_delta_8q,0.0017148172634269666,1.0017162884033424,0.008429185206106254,-0.014806082159559123,0.018235716686413057,0.9853029889063185,1.0184030026808064,0.0,0.20343808108341505,0.838792637682862,0.25361389633440007
ebit__to__interest_expense_delta_1q,0.0032114718945844348,1.0032166341951645,0.03421345469999448,-0.06384566710409739,0.07026861089326628,0.9381497757302559,1.0727963073299873,0.0,0.0938657590338269,0.9252157940413394,0.11213820095105734
ebit__to__interest_expense_delta_4q,-0.021292139184844697,0.9789329381211668,0.02936337625333364,-0.0788432991058773,0.036259020736187905,0.9241847336730238,1.036924396629981,0.0,-0.7251257144664143,0.46837491033908674,1.0942642985077635
ebit_margin_delta_1q,0.002136583351153511,1.0021388674718101,0.0173292366926075,-0.03182809644592719,0.03610126314823422,0.9686730861137076,1.0367608268408055,0.0,0.1232935638801078,0.901874637228677,0.14900118559509296
ebit_margin_delta_4q,0.004550152454270748,1.0045605201168,0.015811914738642116,-0.02644063096008586,0.03554093586862736,0.9739058619752065,1.0361800641908716,0.0,0.287767327960023,0.773524848438177,0.37048045784429906
return_on_assets_delta_1q,0.02252467590822481,1.022780271885186,0.046049047102307686,-0.0677297979346868,0.11277914975113641,0.934512946794571,1.1193846892604786,0.0,0.48914532060091237,0.624738817708581,0.6786749213537031
return_on_assets_delta_4q,0.06940475502669584,1.0718699661165179,0.06544280329259297,-0.05886078247412564,0.19767029252751733,0.9428380195970956,1.2185605590593265,0.0,1.0605406788029708,0.28889869379598293,1.7913644138589009
vol_8q_ebit_margin,-0.006568067421263478,0.9934534551871343,0.009498719926320903,-0.025185216376085402,0.012049081533558449,0.9751292853888889,1.0121219641451469,0.0,-0.691468689698219,0.4892710504402157,1.0312941720630988
vol_8q_net_inc_margin,0.01102104315399007,1.011081998575053,0.006338364333171277,-0.0014019226599188694,0.02344400896789901,0.9985990595745942,1.0237209799476683,0.0,1.738783473886536,0.082072856572194,3.6069510221381567
distance_to_max_leverage_pct,-0.01952167386136406,0.9806676401038513,0.009078198541516758,-0.037314616047240956,-0.001728731675487167,0.9633729950614296,0.9982727617204317,0.0,-2.150390715964936,0.0315243220949942,4.9873908428756515
rating_numeric,0.03985852437746258,1.0406635352557714,0.06768240585369774,-0.09279655348280792,0.1725136022377331,0.9113788982989134,1.1882879838807119,0.0,0.5889052535103547,0.5559248333864635,0.8470382655923855
